Genetic ID	Master ID
I16387.AG.TW	I16387
I16387.TW	I16387
I16387.AG	I16387
I16390.AG.TW	I16390
I16390.TW	I16390
I16390.AG	I16390
I16450.AG	I16450
I16455.AG	I16455
I16456_d.AG	I16456
I16457.AG	I16457
I16458.AG	I16458
S41286_Shoal.2_SQ.TW	I41286
I14351.AG	I14351
I14352.AG	I14352
I14837.AG	I14837
I31943.TW	I31943
I19869.AG	I19869
I21315.AG	I21315
I3567.SG	I3567
I3567.AG	I3567
I3566.SG	I3566
I3566.AG	I3566
S42809_Rabble.11_SQ.TW	I42809
I16471_d.AG	I16471
S41274_Shoal.2_SQ.TW	I41274
S41275_Shoal.2_SQ.TW	I41275
S41276_Shoal.2_SQ.TW	I41276
S41277_Shoal.2_SQ.TW	I41277
S41278_Shoal.2_SQ.TW	I41278
S41279_Shoal.2_SQ.TW	I41279
I11145.AG	I11145
I36948.TW	I36948
I16399.AG	I16399
I2799.AG	I2799
I14359.AG	I14359
I2699.AG	I2699
I31917.TW	I31917
I33143.TW	I33143
I33144.TW	I33144
I33166.TW	I33166
I21303.AG	I21303
I14360.AG	I14360
I36949.TW	I36949
I11144.AG	I11144
I36946.TW	I36946
I36960.TW	I36960
I36961.TW	I36961
S42803_Rabble.11_SQ.TW	I42803
S42805_Rabble.11_SQ.TW	I42805
I16402.AG	I16402
I2701.AG	I2701
I16418.AG	I16418
I35725_v57.1.TW	I35725
I12925.AG	I12925
I19048.AG	I19048
I37349.TW	I37349
I37348.TW	I37348
I37347.TW	I37347
I14552_d.AG	I14552
I27384.AG	I27384
I35706.TW	I35706
I31945.TW	I31945
I19047.AG	I19047
S41281_Shoal.2_SQ.TW	I41281
S41282_Shoal.2_SQ.TW	I41282
I18599.AG	I18599
I21302.AG	I21302
I16413.AG	I16413
I16504.AG	I16504
I27385.AG	I27385
I37345.TW	I37345
I3568.AG	I3568
I2824.AG	I2824
I31944.TW	I31944
I21304.AG	I21304
I39736.TW	I39736
I11155.AG	I11155
I13613.AG	I13613
I13614.AG	I13614
I13718.AG	I13718
I19871.AG	I19871
I21270.AG	I21270
I21273.AG	I21273
I21299.AG	I21299
I21300.AG	I21300
I35705_v57.1.TW	I35705
I35703.TW	I35703
I37346.TW	I37346
I12924.AG	I12924
I36954_d.TW	I36954
I18598.AG	I18598
I19566.AG	I19566
I19567.AG	I19567
S19567.Y1.E4.L1.TW	I19567
I20370.AG	I20370
I20991.AG	I20991
I20992.AG	I20992
I20993.AG	I20993
I20994.AG	I20994
I16401.AG	I16401
I2798.AG	I2798
I14354.AG	I14354
I2858.AG	I2858
I14550.AG	I14550
I30883.TW	I30883
I12927.AG	I12927
I12931.AG	I12931
I12932.AG	I12932
I18600.AG	I18600
I30884.TW	I30884
S42702_Rabble.11_SQ.TW	I42702
I2697.AG	I2697
I14856.AG	I14856
I35702.v58.0.TW	I35702
I2797.AG	I2797
S42703_Rabble.11_SQ.TW	I42703
I35704.TW	I35704
